id_employee,Name,last_name,birth_date,genre,area,salary,start_date,type,email,age
00-0037846,Kimmy,Walczynski,1991-06-04,male,Engineering,77719,2002-01-20,0,kimmy.wal@gmail.com,33
00-0041533,Ignatius,Springett,1984-06-29,male,"Business Development",135189,2019-04-08,0,ignatius.spr@gmail.com,40
00-0045747,Corbie,Bittlestone,1989-07-29,male,Sales,122484,2010-10-12,1,corbie.bit@gmail.com,35
00-0055274,Baxy,Matton,1982-09-14,female,Services,82100,2005-04-10,0,baxy.mat@gmail.com,41
00-0076100,Terrell,Suff,1994-04-11,female,"Product Management",114648,2010-09-29,1,terrell.suf@gmail.com,30
00-0116166,Kacie,Offiler,1971-01-18,male,Engineering,121044,2018-09-01,0,kacie.off@gmail.com,53
00-0363185,Sandro,Admans,1979-11-19,male,"Product Management",174195,2012-11-08,1,sandro.adm@gmail.com,44
00-0380704,Eugene,Lehrahan,1988-10-14,female,Engineering,66031,2007-06-27,1,eugene.leh@gmail.com,35
00-0381660,Wainwright,Corfield,1996-12-13,male,Engineering,164055,2001-02-20,0,wainwright.cor@gmail.com,27
00-0419202,Dyann,Isoldi,1980-03-27,male,Engineering,135543,2005-01-27,1,dyann.iso@gmail.com,44
00-0472287,Grantley,Oret,1975-09-06,male,Services,166001,2004-11-01,1,grantley.ore@gmail.com,48
00-0472832,Elmore,Worner,1966-01-07,female,Engineering,117567,2000-12-05,1,elmore.wor@gmail.com,58
00-0566380,Dud,Brain,1984-03-17,male,"Business Development",150237,2008-09-17,0,dud.bra@gmail.com,40
00-0571075,Aguie,Conford,1971-11-02,male,"Business Development",174698,2015-11-25,1,aguie.con@gmail.com,52
00-0624189,Katerina,Rosborough,1967-08-20,male,Engineering,124803,2019-05-17,1,katerina.ros@gmail.com,56
00-0715212,Alida,Longley,1973-01-28,female,Accounting,156904,2002-02-04,0,alida.lon@gmail.com,51
00-0755645,Laraine,Petre,1967-05-11,male,Engineering,140626,2010-09-30,1,laraine.pet@gmail.com,57
00-0778934,Gareth,MacCook,1987-02-21,female,Legal,107742,2010-02-18,1,gareth.mac@gmail.com,37
00-0794247,Scottie,Chestney,1972-02-23,female,Engineering,90315,2002-07-03,1,scottie.che@gmail.com,52
00-0948136,Christophorus,Boseley,1983-05-23,female,Marketing,124809,2007-09-06,1,christophorus.bos@gmail.com,41
00-0971612,Arleyne,Froome,1999-08-01,male,Engineering,137597,2015-04-09,1,arleyne.fro@gmail.com,25
00-1051096,Todd,Cashen,1999-06-19,female,Accounting,115695,2014-06-20,1,todd.cas@gmail.com,25
00-1052230,Elmo,McNee,1988-12-16,female,Services,78418,2002-07-18,1,elmo.mcn@gmail.com,35
00-1100714,Regen,Nafzger,1990-04-06,male,"Human Resources",164369,2016-07-23,0,regen.naf@gmail.com,34
00-1147503,Penelope,Wenman,1994-12-19,male,"Business Development",154937,2019-09-10,1,penelope.wen@gmail.com,29
00-1189819,Rudolf,Reichardt,1979-06-05,male,"Business Development",97134,2007-05-07,0,rudolf.rei@gmail.com,45
00-1222963,Tobiah,Fruchon,1991-10-17,female,Services,138757,2011-02-13,0,tobiah.fru@gmail.com,32
00-1268049,Fay,Monnelly,1966-07-09,male,Engineering,111994,2010-02-24,0,fay.mon@gmail.com,58
00-1277358,Lola,Burrells,1973-10-02,male,"Human Resources",132408,2008-03-08,1,lola.bur@gmail.com,50
00-1284831,Hamel,Edgeler,1973-12-22,male,"Human Resources",152256,2001-08-08,0,hamel.edg@gmail.com,50
00-1331085,Shalne,Berntssen,1979-05-20,female,"Business Development",132654,2008-12-19,1,shalne.ber@gmail.com,45
00-1418617,Nefen,Russan,1997-02-18,female,Training,120834,2007-01-21,1,nefen.rus@gmail.com,27
00-1451930,Woodie,Hayhow,1995-01-18,female,Engineering,170827,2001-08-04,1,woodie.hay@gmail.com,29
00-1485605,L;urette,Stango,1991-04-13,male,Training,124715,2016-11-29,0,l;urette.sta@gmail.com,33
00-1499371,Claude,Ales0,1984-04-29,female,Sales,126534,2014-03-31,1,claude.ale@gmail.com,40
00-1557949,Virginia,Teligin,1982-12-25,female,Engineering,119752,2014-06-27,0,virginia.tel@gmail.com,41
00-1695354,Starr,Yitzhok,1998-04-11,female,Training,99040,2011-07-14,1,starr.yit@gmail.com,26
00-1722938,Perla,Durrand,1976-03-11,male,Sales,178809,2014-01-01,1,perla.dur@gmail.com,48
00-1728402,Mahala,McTrustie,1974-06-07,female,"Business Development",118730,2015-04-15,0,mahala.mct@gmail.com,50
00-1735797,Hobart,Bertrand,1997-03-22,female,"Business Development",129612,2019-09-17,0,hobart.ber@gmail.com,27
00-1792130,Nobe,Leathe,1993-07-23,male,Engineering,174045,2011-01-23,1,nobe.lea@gmail.com,31
00-1830166,Peta,Gosson,1975-06-02,female,"Human Resources",146252,2007-06-02,1,peta.gos@gmail.com,49
00-1861400,Ninnette,Batter,1993-03-11,male,"Business Development",152349,2008-02-04,1,ninnette.bat@gmail.com,31
00-1877605,Bibbie,Matteoli,1997-06-18,male,Support,74632,2008-05-05,1,bibbie.mat@gmail.com,27
00-1892609,Averell,Paintain,1971-10-25,female,"Research and Development",118943,2013-01-02,1,averell.pai@gmail.com,52
00-1954462,Marcel,Fowkes,1993-06-18,male,Accounting,123127,2008-07-20,1,marcel.fow@gmail.com,31
00-1957612,Artus,Cawcutt,1970-02-28,female,Services,110278,2005-07-08,1,artus.caw@gmail.com,54
00-2010536,Emili,Cowl,1978-05-10,male,Engineering,160528,2009-07-30,0,emili.cow@gmail.com,46
00-2209303,Edeline,Painten,1978-03-16,male,Services,172415,2011-01-17,1,edeline.pai@gmail.com,46
00-2228674,Meggi,"Mc Ilory",1987-09-09,male,Training,152355,2005-11-30,1,"meggi.mc @gmail.com",36
00-2229651,Giordano,Muckian,1984-08-21,female,"Business Development",126833,2004-04-11,0,giordano.muc@gmail.com,39
00-2260658,Nickolas,Coopey,1978-05-21,male,Support,135192,2001-01-02,0,nickolas.coo@gmail.com,46
00-2301130,Corrina,Blooman,1971-10-19,female,Services,155224,2013-07-28,0,corrina.blo@gmail.com,52
00-2334565,Odey,Brough,1992-12-19,male,Engineering,143824,2011-08-27,0,odey.bro@gmail.com,31
00-2367299,Lenka,Astridge,2000-12-01,male,"Human Resources",134657,2019-08-13,0,lenka.ast@gmail.com,23
00-2509034,Gunar,Dinkin,1988-11-27,male,Training,109088,2017-12-19,0,gunar.din@gmail.com,35
00-2607971,Gale,Dreossi,1972-06-16,male,Auditing,74124,2006-02-02,1,gale.dre@gmail.com,52
00-2623755,Chrysa,Brownell,1983-04-25,male,Engineering,150586,2018-02-22,1,chrysa.bro@gmail.com,41
00-2637590,Britte,Royds,1980-03-06,male,Training,84336,2016-05-05,0,britte.roy@gmail.com,44
00-2682864,Bil,Wanden,1982-06-28,male,Engineering,101508,2009-02-24,1,bil.wan@gmail.com,42
00-2704725,Ronda,Dictus,1975-11-28,female,Training,139256,2003-12-07,1,ronda.dic@gmail.com,48
00-2709445,Loree,Neno,1977-01-16,female,"Research and Development",87404,2017-04-26,0,loree.nen@gmail.com,47
00-2773154,Teena,Tolan,1992-09-11,male,"Human Resources",88845,2014-02-11,1,teena.tol@gmail.com,31
00-2861998,Karine,Seage,1966-09-07,male,Training,112030,2017-08-12,1,karine.sea@gmail.com,57
00-2874422,Diandra,Bourget,1971-04-06,male,"Human Resources",133999,2003-07-26,1,diandra.bou@gmail.com,53
